Rok,IČO,Název IČO,IČZ,Název IČZ,IČP,Název IČP,"Kód nasmlouvané odbornosti",Název odbornosti,Typ nasmlouvané odbornosti,"Kód ZP",Parametr,"Hodnota 2023"
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002013,Interna B,1H1,akutní LP vnitřního lékařství - interny - typ H,H,207,Počet lůžek,30
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002013,Interna B,1H1,akutní LP vnitřního lékařství - interny - typ H,V,205,Počet OD,161
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002013,Interna B,1H1,akutní LP vnitřního lékařství - interny - typ H,V,205,Počet lůžek,x
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002013,Interna B,1H1,akutní LP vnitřního lékařství - interny - typ H,,209,Počet OD,77
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002013,Interna B,1H1,akutní LP vnitřního lékařství - interny - typ H,,209,Počet lůžek,x
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002013,Interna B,1H1,akutní LP vnitřního lékařství - interny - typ H,,211,Počet OD,911
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002013,Interna B,1H1,akutní LP vnitřního lékařství - interny - typ H,,213,Počet OD,40
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002013,Interna B,1H1,akutní LP vnitřního lékařství - interny - typ H,H,111,Počet lůžek,30
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002013,Interna B,1H1,akutní LP vnitřního lékařství - interny - typ H,,213,Počet lůžek,30
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002013,Interna B,1H1,akutní LP vnitřního lékařství - interny - typ H,,211,Počet lůžek,30
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002013,Interna B,1H1,akutní LP vnitřního lékařství - interny - typ H,,201,Počet OD,429
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002013,Interna B,1H1,akutní LP vnitřního lékařství - interny - typ H,H,111,Počet OD,"4,389"
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002013,Interna B,1F1,akutní LP vnitřního lékařství - interny - typ F,H,201,Počet lůžek,30
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002013,Interna B,1H1,akutní LP vnitřního lékařství - interny - typ H,H,207,Počet OD,833
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002013,Interna B,1F1,akutní LP vnitřního lékařství - interny - typ F,H,201,Počet OD,x
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002020,Nem. Milosrdných sester sv. Karla Borom.,01002020,Nemocnice Milosrdných sester sv. Karla ,9H9,ošetřovatelská lůžková péče - typ H,,213,Počet lůžek,30
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002020,Nem. Milosrdných sester sv. Karla Borom.,01002020,Nemocnice Milosrdných sester sv. Karla ,9H9,ošetřovatelská lůžková péče - typ H,H,207,Počet lůžek,30
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002020,Nemocnice Milosrdných sester sv. Karla ,9H9,ošetřovatelská lůžková péče - typ H,H,207,Počet lůžek,x
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002020,Nem. Milosrdných sester sv. Karla Borom.,01002020,Nemocnice Milosrdných sester sv. Karla ,9H9,ošetřovatelská lůžková péče - typ H,,213,Počet OD,x
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002020,Nemocnice Milosrdných sester sv. Karla ,9H9,ošetřovatelská lůžková péče - typ H,,209,Počet lůžek,x
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002020,Nemocnice Milosrdných sester sv. Karla ,9H9,ošetřovatelská lůžková péče - typ H,,209,Počet OD,x
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002020,Nemocnice Milosrdných sester sv. Karla ,9H9,ošetřovatelská lůžková péče - typ H,H,207,Počet OD,x
