"rok_platnosti","icz_nazev","ico","icz","okres","typsub","STAN","JIP","LDN","OSET","OLU","HOSP","NIP","DIOP","pocet_od_akutni_stan","pocet_od_akutni_int","pocet_od_nasledna"
2015,"Nemocnice Znojmo,příspěvková organizace","00092584","83002000","CZ0647","Léčebna pro dlouhodobě nemocné (LDN)",0,0,115,0,0,0,0,0,0,0,38978
2015,"Nemocnice následné péče Moravská Třebová","00193895","68013000","CZ0533","Léčebna pro dlouhodobě nemocné (LDN)",0,0,80,0,0,0,0,0,0,0,24479
2015,"Nemocnice následné péče Praha s.r.o.","45789924","06408000","CZ0100","Léčebna pro dlouhodobě nemocné (LDN)",0,0,40,20,0,0,0,0,0,0,19487
2015,"Nemocnice následné péče Praha s.r.o.","45789924","06610000","CZ0100","Odborné léčebné ústavy",0,0,0,0,20,0,0,0,0,0,6563
2015,"Nemocnice následné péče Svatá Anna,s.r.o","26360896","49008000","CZ0327","Léčebna pro dlouhodobě nemocné (LDN)",0,0,90,0,0,0,0,0,0,0,23402
2015,"Nemocnice následné péče VIA, s.r.o.","02390221","51262000","CZ0421","Léčebna pro dlouhodobě nemocné (LDN)",0,0,100,0,0,0,0,0,0,0,40513
2015,"Nemocnice následné péče s pol. Lom. n/P","00854875","67130000","CZ0514","Léčebna pro dlouhodobě nemocné (LDN)",0,0,0,59,0,0,0,0,0,0,22867
2015,"Nemocnice s poliklinikou Česká Lípa a.s.","27283518","50292000","CZ0511","Léčebna pro dlouhodobě nemocné (LDN)",0,0,122,0,0,0,0,0,0,0,46468
2015,"Nemocnice s poliklinikou Česká Lípa,a.s.","27283518","50100000","CZ0511","Nemocnice",315,32,0,0,0,0,0,6,67973,8260,1246
2015,"Nemocnice sv. Alžběty Na Slupi, s.r.o.","07579969","02259000","CZ0100","Léčebna pro dlouhodobě nemocné (LDN)",0,0,89,0,0,0,0,0,0,0,34200
