Nazev,Adresa_plna,Popis,Lon,Lat,Group_ID,Marker_Color,Marker_Symbol,URL,Feature_ID,Zrizovatel,Pocet_luzek,Pocet_lekaru,Pocet_sester,Pocet_hospitalizaci,Pocet_ambulantnich_vysetreni
Městská nemocnice Městec Králové,"Městská nemocnice Městec Králové, Prezidenta Beneše, 289 03 Městec Králové, Czechia","Zřizovatel: Obec 
Počet lůžek: 207 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",15.2878,50.2048,1987940417,#fb6033,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=686184&typ=UPLNY,3113165642,Obec,207,/,/,/,/
Městská nemocnice Neratovice - Almeda,"Městská nemocnice Neratovice - Almeda, a.s., Alšova 462, 277 11 Nerátky, Czechia","Zřizovatel: Soukromý vlastník - VAMED MEDITERRA a.s.
Počet lůžek: / 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: 4 655
Počet ambulantních vyšetření: 58003",14.510434,50.258731,1987940417,#fb6033,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=679031&typ=UPLNY,1529781908,Soukromý vlastník - VAMED MEDITERRA a.s.,/,/,/,4 655,58003
Městská nemocnice Ostrava,"Městská nemocnice Ostrava, Nemocniční 898/20a, 702 00 Ostrava, Czechia","Zřizovatel: obec 
Počet lůžek: / 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: /
Počet ambulantních vyšetření: /",18.274836,49.832996,2744332045,#005e38,hotel,,1684000660,obec,/,/,/,/,/
Městská nemocnice Slavičín,"Městská nemocnice Slavičín, Komenského, 763 21 Slavičín, Czechia","Zřizovatel: obec 
Počet lůžek: / 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",17.873698,49.090382,2799177597,#fb6033,hotel,,62675115,obec,/,/,/,/,/
Městská nemocnice s poliklinikou Uh. Brod,"Městská nemocnice s poliklinikou Uh. Brod, s.r.o., Partyzánů 2174, 688 01 Uherský Brod, Czechia","Zřizovatel: obec 
Počet lůžek: 90 
Počet lékařů: 19 
Počet sester: 44 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",17.652334,49.029107,2799177597,#fb6033,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=92798&typ=UPLNY,2501165256,obec,90,19,44,/,/
Městská nemocnice v Odrách,"Městská nemocnice v Odrách, Nadační 375/1, 742 35 Odry, Czechia","Zřizovatel: obec 
Počet lůžek: 75 
Počet lékařů: 15 
Počet sester: 50 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",17.827956,49.665517,2744332045,#005e38,hotel,,701563086,obec,75,15,50,/,/
Městská nemocnice v Roztokách,"Městská nemocnice v Roztokách, Tiché údolí, 252 63 Roztoky, Czechia","Zřizovatel: Soukromý vlastník - Vladimír Matoušek (prostřednictvím RHG, spol. s.r.o.)
Počet lůžek: /
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",14.395787,50.157337,1987940417,#fb6033,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=459440&typ=UPLNY,3006520314,"Soukromý vlastník - Vladimír Matoušek (prostřednictvím RHG, spol. s.r.o.)",/,/,/,/,/
Městská nemocnice Čáslav,"Městská nemocnice Čáslav, Jeníkovská, 286 01 Čáslav, Czechia","Zřizovatel: Obec 
Počet lůžek: / 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",15.40156,49.903995,1987940417,#fb6033,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=1042288&typ=UPLNY,1981787673,Obec,/,/,/,/,/
Nemocnice Blansko,"Nemocnice Blansko, Sadová 1596/33, 678 01 Blansko, Czechia","Zřizovatel: Obec 
Počet lůžek: 183 
Počet lékařů: 74 
Počet sester: 167 
Počet hospitalizací: 5847
Počet ambulantních vyšetření: /",16.653567,49.362199,2451465079,#e32c31,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=406659&typ=UPLNY,1713363418,Obec,183,74,167,5847,/
Nemocnice Boskovice,"Nemocnice Boskovice, Otakara Kubína, 680 11 Boskovice, Czechia","Zřizovatel: kraj 
Počet lůžek: 272 
Počet lékařů: 77 
Počet sester: 241 
Počet hospitalizací: 10056 
Počet ambulantních vyšetření: 316838",16.644048,49.490377,2451465079,#e32c31,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=304319&typ=UPLNY,2587553673,kraj,272,77,241,10056,316838
Nemocnice Brandýs nad Labem,"Nemocnice Brandýs nad Labem, Brázdimská, 250 01 Brandýs n.L. - M. Boleslav, Czechia","Zřizovatel: Soukromý vlastník - Ivana Švikovská (prostřednictvím CLEAR'S GROUP a.s.)
Počet lůžek: 144
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",14.651967,50.18772,1987940417,#fb6033,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=343186&typ=UPLNY,3833475827,Soukromý vlastník - Ivana Švikovská (prostřednictvím CLEAR'S GROUP a.s.),144,/,/,/,/
