Nazev,Adresa_plna,Popis,Lon,Lat,Group_ID,Marker_Color,Marker_Symbol,URL,Feature_ID,Zrizovatel,Pocet_luzek,Pocet_lekaru,Pocet_sester,Pocet_hospitalizaci,Pocet_ambulantnich_vysetreni
Okresní nemocnice Havlíčkův Brod,"Okresní nemocnice Havlíčkův Brod, Havlíčkova, 580 01 Havlíčkův Brod, Czechia","Zřizovatel: Kraj 
Počet lůžek: 534 
Počet lékařů: 172 
Počet sester: 597 
Počet hospitalizací: 18808 
Počet ambulantních vyšetření: 230 993",15.571464,49.6091,3135952126,#3cc954,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=357077&typ=UPLNY,850547503,Kraj,534,172,597,18808,230 993
Panochova nemocnice Turnov,"Panochova nemocnice Turnov, 28. října, 511 01 Turnov, Czechia","Zřizovatel: kraj 
Počet lůžek: 176 
Počet lékařů: 38 
Počet sester: 111 
Počet hospitalizací: 6583 
Počet ambulantních vyšetření: /",15.16987,50.58906,3650692710,#1b8893,hotel,,2488742467,kraj,176,38,111,6583,/
Podhorská nemocnice,"Podhorská nemocnice, Nádražní 29, 792 01 Bruntál, Czechia","Zřizovatel: soukromý vlastník - AGEL a.s.
Počet lůžek: / 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",17.471297,49.994934,2744332045,#005e38,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=48852&typ=UPLNY,2373178511,soukromý vlastník - AGEL a.s.,/,/,/,/,/
Podřipská nemocnice s poliklinikou,"Podřipská nemocnice s poliklinikou, Alej 17. listopadu, 413 01 Roudnice n. Lab., Czechia","Zřizovatel: soukromý vlastník - majoritní akcionář Ing. Jakub Zavoral, Ph.D.
Počet lůžek: 241 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",14.247776,50.423124,1032119212,#f1ae29,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=8028&typ=UPLNY,896055322,"soukromý vlastník - majoritní akcionář Ing. Jakub Zavoral, Ph.D.",241,/,/,/,/
Privamed,"Privamed, Kotíkovská, 323 00 Plzeň, Czechia","Zřizovatel: soukromý vlastník - PRIVAMED a.s.
Počet lůžek: / 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",13.359332,49.765288,3591367076,#b63681,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=174598&typ=UPLNY,2069940196,soukromý vlastník - PRIVAMED a.s.,/,/,/,/,/
Rokycanská nemocnice,"Rokycanská nemocnice, Voldušská 750, 337 01 Rokycany, Czechia","Zřizovatel: kraj 
Počet lůžek: 123 
Počet lékařů: 38 
Počet sester: 97 
Počet hospitalizací: 4769 
Počet ambulantních vyšetření: 42956",13.60429,49.748931,3591367076,#b63681,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=157650&typ=UPLNY,1661382919,kraj,123,38,97,4769,42956
Slezská nemocnice v Opavě,"Slezská nemocnice v Opavě, Olomoucká, 746 01 Opava, Czechia","Zřizovatel: kraj 
Počet lůžek: 535 
Počet lékařů: 163 
Počet sester: 560 
Počet hospitalizací: 22565 
Počet ambulantních vyšetření: 324131",17.878495,49.934364,2744332045,#005e38,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=259353&typ=UPLNY,2847485106,kraj,535,163,560,22565,324131
Stodská nemocnice,"Stodská nemocnice, Hradecká 600, 333 01 Stod, Czechia","Zřizovatel: kraj 
Počet lůžek: 195 
Počet lékařů: 48 
Počet sester: 142 
Počet hospitalizací: 6951 
Počet ambulantních vyšetření: 42726",13.155045,49.636379,3591367076,#b63681,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=157687&typ=UPLNY,1894854028,kraj,195,48,142,6951,42726
Sušická nemocnice s.r.o.,"Sušická nemocnice s.r.o., Chmelenská 117, 342 01 Sušice, Czech Republic","Zřizovatel: obec
Počet lůžek: /
Počet lékařů: /
Počet sester: / 
Počet hospitalizací: /
Počet ambulantních vyšetření: /",13.526445,49.230101,3591367076,#b63681,,,341468800,obec,/,/,/,/,/
Thomayerova nemocnice,"Thomayerova nemocnice, Vídeňská, 142 00 Prague, Czechia","Zřizovatel: Ministerstvo zdravotnictví Počet lůžek: 1600 
Počet lékařů: 371 
Počet sester: 920 
Počet hospitalizací: 35899 
Počet ambulantních vyšetření: 727993",14.459379,50.028254,1020388458,#444444,hotel,,1832727383,Ministerstvo zdravotnictví Počet lůžek: 1600,1600,371,920,35899,727993
Uherskohradišťská nemocnice a.s.,"Uherskohradišťská nemocnice a.s., Zahrádky, 686 06 Uherské Hradiště, Czechia","Zřizovatel: kraj 
Počet lůžek: 609 
Počet lékařů: 174 
Počet sester: 496 
Počet hospitalizací: 24740 
Počet ambulantních vyšetření: 1006054",17.45358,49.063206,2799177597,#fb6033,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=202853&typ=UPLNY,3476509811,kraj,609,174,496,24740,1006054
Vojenská nemocnice,"Vojenská nemocnice, Sušilovo nám., 779 00 Olomouc, Czechia","Zřizovatel: Ministerstvo Obrany
Počet lůžek: / 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",17.265414,49.605848,465184557,,hotel,,1191163917,Ministerstvo Obrany,/,/,/,/,/
Vojenská nemocnice Brno,"Vojenská nemocnice Brno, Lazaretní, 615 00 Brno, Czechia","Zřizovatel: Ministerstvo obrany 
Počet lůžek: 218 
Počet lékařů: 71 
Počet sester: 335 
Počet hospitalizací: 8341 
Počet ambulantních vyšetření: 178818",16.631154,49.202605,2451465079,#e32c31,hotel,,2180537348,Ministerstvo obrany,218,71,335,8341,178818
Vsetínská nemocnice,"Vsetínská nemocnice, Nemocniční 955, 755 01 Vsetín, Czechia","Zřizovatel: kraj 
Počet lůžek: 344 
Počet lékařů: 87 
Počet sester: 249 
Počet hospitalizací: 12676 
Počet ambulantních vyšetření: 150068",17.998209,49.332166,2799177597,#fb6033,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=30640&typ=UPLNY,3958753568,kraj,344,87,249,12676,150068
Vítkovická nemocnice,"Vítkovická nemocnice, Mírová, 703 00 Ostrava, Czechia","Zřizovatel: soukromý vlastník - AGEL a.s.
Počet lůžek: / 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",18.270551,49.815295,2744332045,#005e38,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=685935&typ=UPLNY,222137187,soukromý vlastník - AGEL a.s.,/,/,/,/,/
Všeobecná fakultní nemocnice,"Všeobecná fakultní nemocnice, Benátská, 128 00 Prague, Czechia","Zřizovatel: Ministerstvo zdravotnictví Počet lůžek: 1537 
Počet lékařů: 810 
Počet sester: 1799 
Počet hospitalizací: 67594 
Počet ambulantních vyšetření: /",14.42073,50.072519,1020388458,#444444,hotel,,1974185781,Ministerstvo zdravotnictví Počet lůžek: 1537,1537,810,1799,67594,/
Úrazová nemocnice v Brně,"Úrazová nemocnice v Brně, Ponávka, 602 00 Brno, Czechia","Zřizovatel: obec 
Počet lůžek: 199 
Počet lékařů: 100 
Počet sester: 285 
Počet hospitalizací: 8604 
Počet ambulantních vyšetření: 272588",16.615174,49.197812,2451465079,#e32c31,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=325834&typ=UPLNY,2153578786,obec,199,100,285,8604,272588
Ústřední vojenská nemocnice,"Ústřední vojenská nemocnice, U Vojenské nemocnice, 162 00 Prague, Czechia","Zřizovatel: Ministerstvo Obrany
Počet lůžek: 677 
Počet lékařů: 411 
Počet sester: 718 
Počet hospitalizací: 26440 
Počet ambulantních vyšetření: 1203279",14.363391,50.090413,1020388458,#444444,hotel,,2486277604,Ministerstvo Obrany,677,411,718,26440,1203279
Šumperská nemocnice,"Šumperská nemocnice, Nemocniční, 787 01 Šumperk, Czechia","Zřizovatel: soukromý vlastník - Martin Polach
Počet lůžek: / 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",16.965441,49.959049,465184557,,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=703089&typ=UPLNY,123144951,soukromý vlastník - Martin Polach,/,/,/,/,/
