Okres,Obec,0-14_let_celkem,0-14_let_muzi,0-14_let_zeny,15-64_let_celkem,15-64_let_muzi,15-64_let_zeny,65+_let_celkem,65+_let_muzi,65+_let_zeny,Prumerny_vek_celkem,Prumerny_vek_muzi,Prumerny_vek_zeny,Index_stari
Okres Tachov,Sytno,15.65836299,9.848484848,20.80536913,64.0569395,72.72727273,56.37583893,20.28469751,17.42424242,22.81879195,43.09786477,43.15151515,43.05033557,129.5454545
Okres Tachov,Tachov,13.1446407,13.87248221,12.503336,67.5959424,69.43813418,65.97277822,19.2594169,16.68938361,21.52388578,43.27718664,41.82121763,44.56004804,146.5191581
Okres Tachov,Tisová,15.37001898,16.16541353,14.55938697,69.63946869,72.18045113,67.04980843,14.99051233,11.65413534,18.3908046,41.40322581,40.0075188,42.8256705,97.5308642
Okres Tachov,Trpísty,16.60516605,13.79310345,19.84126984,64.20664207,68.96551724,58.73015873,19.18819188,17.24137931,21.42857143,42.00553506,41.6862069,42.37301587,115.5555556
Okres Tachov,Třemešné,12.87671233,10.88082902,15.11627907,68.21917808,73.05699482,62.79069767,18.90410959,16.06217617,22.09302326,43.68356164,43.2357513,44.18604651,146.8085106
Okres Tachov,Únehle,18.04511278,15.71428571,20.63492063,68.42105263,74.28571429,61.9047619,13.53383459,10,17.46031746,38.2593985,37.32857143,39.29365079,75
Okres Tachov,Vranov,16.90821256,16.98113208,16.83168317,62.80193237,63.20754717,62.37623762,20.28985507,19.81132075,20.79207921,42.06038647,42.32075472,41.78712871,120
Okres Tachov,Zadní Chodov,17.14285714,16,18.33333333,66.12244898,68.8,63.33333333,16.73469388,15.2,18.33333333,42.44285714,42.028,42.875,97.61904762
Okres Tachov,Záchlumí,22.75574113,21.12068966,24.29149798,66.80584551,68.96551724,64.77732794,10.43841336,9.913793103,10.93117409,36.59812109,37.50431034,35.74696356,45.87155963
Okres Tachov,Zhoř,25.84269663,18.07228916,32.63157895,63.48314607,71.08433735,56.84210526,10.6741573,10.84337349,10.52631579,33.92696629,36.53614458,31.64736842,41.30434783
Okres Kutná Hora,Adamov,11.11111111,14.49275362,7.575757576,59.25925926,53.62318841,65.15151515,29.62962963,31.88405797,27.27272727,47.72962963,47.64492754,47.81818182,266.6666667
Okres Kutná Hora,Bernardov,10.90909091,8.536585366,13.25301205,64.24242424,70.73170732,57.8313253,24.84848485,20.73170732,28.91566265,46.02121212,45.51219512,46.52409639,227.7777778
Okres Kutná Hora,Bílé Podolí,15.31986532,19.54397394,10.80139373,63.63636364,64.16938111,63.06620209,21.04377104,16.28664495,26.13240418,44.11616162,41.22638436,47.20731707,137.3626374
Okres Kutná Hora,Bludov,8,6.25,11.11111111,48,50,44.44444444,44,43.75,44.44444444,54.02,54.1875,53.72222222,550
Okres Kutná Hora,Bohdaneč,13.27433628,10.59907834,15.74468085,63.05309735,67.74193548,58.72340426,23.67256637,21.65898618,25.53191489,45.21681416,45.97926267,44.51276596,178.3333333
Okres Kutná Hora,Brambory,14.28571429,16.66666667,11.53846154,60.71428571,66.66666667,53.84615385,25,16.66666667,34.61538462,45.41071429,42.81666667,48.40384615,175
Okres Kutná Hora,Bratčice,16.34615385,17.34693878,15.45454545,61.29807692,64.79591837,58.18181818,22.35576923,17.85714286,26.36363636,43.29086538,42.1377551,44.31818182,136.7647059
Okres Kutná Hora,Církvice,17.45426829,16.82389937,18.04733728,64.25304878,66.35220126,62.27810651,18.29268293,16.82389937,19.67455621,41.57469512,40.81603774,42.28846154,104.8034934
Okres Kutná Hora,Čáslav,15.91499183,16.76646707,15.12339952,62.34253294,64.63073852,60.21525329,21.74247524,18.60279441,24.66134719,43.28776805,41.36686627,45.0735758,136.6163142
Okres Kutná Hora,Čejkovice,-,-,-,60.71428571,66.66666667,53.84615385,39.28571429,33.33333333,46.15384615,55.96428571,52.96666667,59.42307692,.
Okres Kutná Hora,Černíny,15.02347418,15.38461538,14.63414634,61.97183099,61.99095023,61.95121951,23.00469484,22.62443439,23.41463415,45.12676056,45.25565611,44.98780488,153.125
Okres Kutná Hora,Červené Janovice,10.42944785,10.80246914,10.06097561,63.65030675,66.04938272,61.2804878,25.9202454,23.14814815,28.65853659,46.77760736,45.67592593,47.86585366,248.5294118
Okres Kutná Hora,Čestín,17.65957447,18.29787234,17.0212766,61.27659574,64.68085106,57.87234043,21.06382979,17.0212766,25.10638298,43.19787234,41.66170213,44.73404255,119.2771084
Okres Kutná Hora,Dobrovítov,20.61068702,23.52941176,17.46031746,58.01526718,54.41176471,61.9047619,21.3740458,22.05882353,20.63492063,42.40076336,42.08823529,42.73809524,103.7037037
Okres Kutná Hora,Dolní Pohleď,22.04724409,20.58823529,23.72881356,55.90551181,58.82352941,52.54237288,22.04724409,20.58823529,23.72881356,42.18503937,41.72058824,42.72033898,100
Okres Kutná Hora,Drobovice,12.18274112,12.75510204,11.61616162,62.94416244,63.26530612,62.62626263,24.87309645,23.97959184,25.75757576,46.8680203,45.71428571,48.01010101,204.1666667
Okres Kutná Hora,Hlízov,17.81437126,19.10447761,16.51651652,69.91017964,71.04477612,68.76876877,12.2754491,9.850746269,14.71471471,38.82335329,37.85223881,39.8003003,68.90756303
Okres Kutná Hora,Horka I,11.76470588,12.12121212,11.42857143,62.00980392,64.14141414,60,26.2254902,23.73737374,28.57142857,45.77941176,45.23232323,46.2952381,222.9166667
Okres Kutná Hora,Horka II,13.34951456,13.52657005,13.17073171,63.10679612,63.28502415,62.92682927,23.54368932,23.1884058,23.90243902,46.37135922,46.72222222,46.01707317,176.3636364
Okres Kutná Hora,Horky,19.49367089,22.91666667,16.25615764,63.29113924,63.02083333,63.54679803,17.21518987,14.0625,20.19704433,41.19873418,38.94270833,43.33251232,88.31168831
Okres Kutná Hora,Horušice,9.090909091,9.638554217,8.536585366,60.60606061,62.65060241,58.53658537,30.3030303,27.71084337,32.92682927,50.27575758,49.22289157,51.34146341,333.3333333
